run_name,is_key_run,note,config_path,metrics_path,num_metric_rows,final_step,train_count,eval_count,best_train_number_step,best_train_number_accuracy,best_train_code_step,best_train_code_accuracy,best_eval_number_step,best_eval_number_accuracy,best_eval_code_step,best_eval_code_accuracy,best_eval_loss_step,best_eval_loss,final_train_number_accuracy,final_train_code_accuracy,final_eval_number_accuracy,final_eval_code_accuracy,final_eval_loss
lf_vq_ce_soft_200_20260621,yes,Soft target-image VQ CE 200-step screen.,runs/lf_vq_ce_soft_200_20260621/config.yaml,runs/lf_vq_ce_soft_200_20260621/metrics.csv,3,200,231,231,200,0.1774891774891775,200,0.17316017316017315,200,0.1645021645021645,200,0.17316017316017315,200,2.842519095449737,0.1774891774891775,0.17316017316017315,0.1645021645021645,0.17316017316017315,2.842519095449737
pca_d2_additive_1000,no,,runs/pca_d2_additive_1000/config.yaml,runs/pca_d2_additive_1000/metrics.csv,6,1000,69,162,1,0.014492753623188406,1,0.014492753623188406,1,0.012345679012345678,1,0.012345679012345678,1000,14.403422073081687,0.0,0.0,0.0,0.0,14.403422073081687
pca_d2_nosymm_1000,no,,runs/pca_d2_nosymm_1000/config.yaml,runs/pca_d2_nosymm_1000/metrics.csv,6,1000,69,162,200,0.08695652173913043,1000,0.10144927536231885,1000,0.06172839506172839,1000,0.06172839506172839,1,8.772122371343919,0.07246376811594203,0.10144927536231885,0.06172839506172839,0.06172839506172839,14.454794989691841
pca_d4_code_logits_5000,no,,runs/pca_d4_code_logits_5000/config.yaml,runs/pca_d4_code_logits_5000/metrics.csv,3,1000,69,162,500,0.6231884057971014,500,0.5507246376811594,1,0.04938271604938271,1,0.06790123456790123,1,4.794617894255085,0.5797101449275363,0.4927536231884058,0.024691358024691357,0.05555555555555555,9.073504294878171
pca_d4_nosymm_1000,no,,runs/pca_d4_nosymm_1000/config.yaml,runs/pca_d4_nosymm_1000/metrics.csv,6,1000,69,162,400,0.07246376811594203,400,0.07246376811594203,800,0.06790123456790123,800,0.06790123456790123,1,8.632905606870297,0.028985507246376812,0.057971014492753624,0.06790123456790123,0.06790123456790123,15.21134619065273
pca_d8_code_logits_1000,no,,runs/pca_d8_code_logits_1000/config.yaml,runs/pca_d8_code_logits_1000/metrics.csv,3,1000,69,162,1000,0.5797101449275363,500,0.5942028985507246,1,0.04938271604938271,1000,0.05555555555555555,1,3.808283794073411,0.5797101449275363,0.5507246376811594,0.037037037037037035,0.05555555555555555,8.941062091309348
pca_d8_nosymm_1000,no,,runs/pca_d8_nosymm_1000/config.yaml,runs/pca_d8_nosymm_1000/metrics.csv,6,1000,69,162,600,0.057971014492753624,600,0.057971014492753624,800,0.07407407407407407,800,0.08024691358024691,1,8.707897574813277,0.028985507246376812,0.028985507246376812,0.05555555555555555,0.05555555555555555,14.419694429562416
projector_d2_additive_2000,no,,runs/projector_d2_additive_2000/config.yaml,runs/projector_d2_additive_2000/metrics.csv,7,1200,69,162,1000,0.07246376811594203,600,0.07246376811594203,1000,0.06172839506172839,1,0.08641975308641975,1200,9.72361006560149,0.07246376811594203,0.057971014492753624,0.043209876543209874,0.04938271604938271,9.72361006560149
projector_d2_additive_raw_1500,no,,runs/projector_d2_additive_raw_1500/config.yaml,runs/projector_d2_additive_raw_1500/metrics.csv,6,1500,69,162,900,0.10144927536231885,900,0.13043478260869565,1,0.04938271604938271,1,0.08641975308641975,1500,12.324080055142627,0.014492753623188406,0.014492753623188406,0.024691358024691357,0.043209876543209874,12.324080055142627
projector_d8_nosymm_1000,no,,runs/projector_d8_nosymm_1000/config.yaml,runs/projector_d8_nosymm_1000/metrics.csv,6,1000,69,162,800,0.07246376811594203,800,0.10144927536231885,200,0.06172839506172839,1,0.08641975308641975,200,10.062331482216164,0.07246376811594203,0.08695652173913043,0.043209876543209874,0.030864197530864196,15.148306081324447
